order_id,order_date,sku,color,size,unit_price,quantity,revenue,age,discount,customer_rating,stock,category,category_id,category_avg_price,category_total_revenue,category_popularity,holiday_type
185,2022-08-11 21:03:00,799,Dark Blue,L,266,7,1862,59,20,3,276,Jeans,2,274,559255,83,No Holiday
13,2022-08-05 12:18:00,799,Dark Blue,L,266,7,1862,20,15,2,331,Jackets,1,273,633186,90,No Holiday
56,2022-09-12 20:19:00,799,Dark Blue,XL,275,10,2750,47,5,2,144,Dresses,0,273,563441,84,No Holiday
5,2022-06-11 14:46:00,799,Dark Blue,XL,264,7,1848,59,0,2,126,Jackets,1,273,633186,90,No Holiday
27,2022-08-08 19:18:00,799,Dark Blue,M,266,4,1064,63,0,3,496,Jeans,2,274,559255,83,No Holiday
52,2022-06-28 19:31:00,708,Dark Blue,2XL,298,4,1192,62,10,1,391,Sweaters,4,277,553327,79,No Holiday
240,2022-08-24 19:51:00,799,Dark Blue,L,288,5,1440,18,20,5,321,T-Shirts,5,277,707980,99,No Holiday
67,2022-09-15 06:45:00,799,Dark Blue,M,269,1,269,29,15,3,171,Dresses,0,273,563441,84,No Holiday
201,2022-08-15 12:38:00,799,Dark Blue,XL,266,7,1862,24,20,4,62,T-Shirts,5,277,707980,99,No Holiday
151,2022-09-08 16:47:00,799,Dark Blue,L,288,8,2304,28,10,2,375,T-Shirts,5,277,707980,99,No Holiday
270,2022-08-30 20:36:00,799,Dark Blue,M,278,5,1390,26,20,4,115,Jackets,1,273,633186,90,No Holiday
54,2022-09-11 08:33:00,799,Dark Blue,M,265,4,1060,55,5,5,498,Dresses,0,273,563441,84,No Holiday
146,2022-07-03 21:14:00,2499,Dark Wash,M,249,3,747,56,10,4,109,Jeans,2,274,559255,83,No Holiday
174,2022-09-09 08:25:00,799,Dark Blue,L,265,9,2385,58,10,3,418,Sweaters,4,277,553327,79,No Holiday
151,2022-07-30 15:18:00,799,Dark Blue,XL,266,3,798,40,10,5,477,T-Shirts,5,277,707980,99,No Holiday
29,2022-08-08 20:33:00,799,Dark Blue,L,266,4,1064,27,20,4,350,Jackets,1,273,633186,90,No Holiday
158,2022-09-09 11:15:00,539,Black,One Size,268,6,1608,36,20,5,108,T-Shirts,5,277,707980,99,No Holiday
82,2022-09-18 09:31:00,799,Dark Blue,L,288,8,2304,18,15,4,161,T-Shirts,5,277,707980,99,No Holiday
73,2022-06-09 20:16:00,2499,Mid Wash,XL,249,9,2241,49,15,3,426,T-Shirts,5,277,707980,99,No Holiday
203,2022-08-15 17:51:00,799,Dark Blue,XL,266,7,1862,39,15,4,332,Jackets,1,273,633186,90,No Holiday
42,2022-09-10 11:47:00,708,Dark Blue,2XL,278,2,556,40,10,1,456,Dresses,0,273,563441,84,Black Friday
206,2022-08-15 05:17:00,799,Dark Blue,L,266,7,1862,34,20,4,320,Sweaters,4,277,553327,79,No Holiday
220,2022-08-17 06:29:00,799,Dark Blue,XL,266,1,266,25,0,1,400,Jackets,1,273,633186,90,No Holiday
25,2022-06-17 10:57:00,708,Dark Blue,3XL,278,3,834,58,5,2,322,Jeans,2,274,559255,83,No Holiday
73,2022-06-09 20:16:00,2499,Mid Wash,XL,249,8,1992,49,15,3,426,T-Shirts,5,277,707980,99,No Holiday
255,2022-08-27 23:31:00,89,Light Blue,2XL,258,9,2322,34,15,2,426,Dresses,0,273,563441,84,No Holiday
265,2022-08-03 20:42:00,3799,Grey Wash,M,268,9,2412,48,20,1,461,T-Shirts,5,277,707980,99,New Year
68,2022-06-06 22:15:00,708,Dark Blue,3XL,278,4,1112,37,20,3,304,Sweaters,4,277,553327,79,New Year
94,2022-09-20 09:22:00,708,Dark Blue,2XL,298,5,1490,42,10,5,54,Jackets,1,273,633186,90,No Holiday
128,2022-07-25 10:26:00,799,Dark Blue,M,266,4,1064,63,20,5,281,Jackets,1,273,633186,90,No Holiday
10,2022-08-31 08:42:00,708,Dark Blue,2XL,298,1,298,59,15,3,440,Dresses,0,273,563441,84,No Holiday
13,2022-06-13 10:11:00,799,Dark Blue,XL,264,2,528,42,5,3,109,Sweaters,4,277,553327,79,No Holiday
28,2022-06-18 20:13:00,708,Dark Blue,3XL,278,6,1668,18,0,5,204,Jeans,2,274,559255,83,No Holiday
249,2022-08-26 20:39:00,799,Dark Blue,XL,269,8,2152,26,20,4,100,Jeans,2,274,559255,83,No Holiday
12,2022-06-12 08:47:00,708,Dark Blue,3XL,278,3,834,28,15,1,397,Dresses,0,273,563441,84,No Holiday
196,2022-08-14 11:24:00,799,Dark Blue,M,266,2,532,31,0,4,477,T-Shirts,5,277,707980,99,No Holiday
34,2022-06-21 10:20:00,708,Dark Blue,XL,278,6,1668,53,5,1,386,Jeans,2,274,559255,83,No Holiday
